Address,Occurrences,
epcpa0-cohpa0-server-zone-floating (128.198.253.174),100,
uccs-link-at-frgp (128.198.254.2),100,
128.198.96.3 (128.198.96.3),60,
core-910-ptr.frgp.net (192.43.217.170),60,
128.198.96.2 (128.198.96.2),40,
72.14.194.239 (72.14.194.239),30,
108.170.252.193 (108.170.252.193),18,
108.170.252.209 (108.170.252.209),16,
206.53.175.50 (206.53.175.50),10,
edge-star-mini-shv-01-den4.facebook.com (157.240.28.35),10,
den08s06-in-f14.1e100.net (142.250.72.14),10,
108.170.254.65 (108.170.254.65),10,
172.253.75.177 (172.253.75.177),10,
den16s08-in-f14.1e100.net (142.250.72.46),10,
den-b1-link.ip.twelve99.net (62.115.63.78),10,
sjo-b23-link.ip.twelve99.net (213.155.133.171),10,
twitter-ic322868-sjo-b21.ip.twelve99-cust.net (62.115.49.193),10,
104.244.42.1 (104.244.42.1),10,
206.51.46.81.any2ix.coresite.com (206.51.46.81),10,
192.0.78.9 (192.0.78.9),10,
den08s05-in-f5.1e100.net (142.250.69.229),10,
core-1850-ptr.frgp.net (192.43.217.194),10,
et-5-1-0.3469.rtsw.denv.net.internet2.edu (198.71.47.18),10,
ae-3.4079.rtsw.salt.net.internet2.edu (162.252.70.9),10,
ae-1.4079.rtsw.losa.net.internet2.edu (162.252.70.114),10,
lo-0.8.rtsw.wilc.net.internet2.edu (64.57.20.254),10,
pccw-global.as3491.any2ix.coresite.com (206.72.210.49),10,
63-218-115-82.static.pccwglobal.net (63.218.115.82),10,
ae-96.core1.hhp.edgecastcdn.net (152.195.187.133),10,
192.229.189.15 (192.229.189.15),10,
206.53.175.18 (206.53.175.18),10,
usw1-1-lbc.gq2.yahoo.com (98.136.158.192),10,
usw2-1-lbc.gq2.yahoo.com (98.136.158.193),10,
media-router-fp73.prod.media.vip.gq1.yahoo.com (98.137.11.164),10,
206.51.46.20.any2ix.coresite.com (206.51.46.20),10,
apple.com.py (17.253.144.10),10,
206.53.175.20 (206.53.175.20),10,
104.17.90.51 (104.17.90.51),10,
142.251.61.179 (142.251.61.179),9,
142.251.61.183 (142.251.61.183),9,
142.251.61.181 (142.251.61.181),9,
hundredge0-0-0-1.clbr02.hkg04.pccwbtn.net (63.223.17.242),9,
ae-8.pat2.gqb.yahoo.com (209.191.64.234),9,
108.170.254.81 (108.170.254.81),9,
142.251.51.221 (142.251.51.221),8,
po102.psw04.den4.tfbnw.net (157.240.48.85),7,
po102.psw01.den4.tfbnw.net (157.240.46.155),7,
209.85.142.171 (209.85.142.171),7,
ae-6.pat1.gqb.yahoo.com (209.191.64.232),6,
po102.psw02.den4.tfbnw.net (157.240.46.157),5,
lo0.fab2-1-gdc.gq2.yahoo.com (98.136.159.246),5,
po102.psw03.den4.tfbnw.net (157.240.46.207),5,
lo0.fab1-1-gdc.gq2.yahoo.com (98.136.159.247),4,
173.252.67.3 (173.252.67.3),4,
unknown.yahoo.com (66.196.67.121),4,
lo0.fab4-1-gdc.gq2.yahoo.com (98.136.159.244),4,
lo0.fab6-1-gdc.gq2.yahoo.com (98.136.159.242),4,
173.252.67.7 (173.252.67.7),3,
173.252.67.53 (173.252.67.53),3,
unknown.yahoo.com (98.136.158.181),3,
lo0.fab5-1-gdc.gq2.yahoo.com (98.136.159.243),3,
unknown.yahoo.com (67.195.37.121),3,
et-1-0-0.msr2.gq1.yahoo.com (66.196.67.113),3,
unknown.yahoo.com (98.136.158.151),3,
lo0.fab8-1-gdc.gq2.yahoo.com (98.136.159.240),3,
et-11-3-2.clr2-a-sat.gq1.yahoo.com (67.195.37.119),3,
173.252.67.113 (173.252.67.113),3,
unknown.yahoo.com (98.136.158.217),3,
173.252.67.167 (173.252.67.167),2,
et-18-1-0.msr1.gq1.yahoo.com (66.196.67.103),2,
et-0-0-0.msr1.gq1.yahoo.com (66.196.67.97),2,
unknown.yahoo.com (98.136.158.175),2,
et-19-1-0.msr1.gq1.yahoo.com (66.196.67.99),2,
unknown.yahoo.com (66.196.67.119),2,
unknown.yahoo.com (98.136.158.213),2,
et-18-1-0.msr2.gq1.yahoo.com (66.196.67.115),2,
unknown.yahoo.com (66.196.67.117),2,
173.252.67.57 (173.252.67.57),2,
unknown.yahoo.com (66.196.67.31),2,
unknown.yahoo.com (98.136.158.183),2,
unknown.yahoo.com (66.196.67.123),2,
et-0-0-0.msr2.gq1.yahoo.com (66.196.67.109),2,
unknown.yahoo.com (98.136.158.215),2,
unknown.yahoo.com (98.136.158.211),2,
unknown.yahoo.com (66.196.67.29),1,
unknown.yahoo.com (98.136.158.203),1,
173.252.67.5 (173.252.67.5),1,
173.252.67.161 (173.252.67.161),1,
et-19-1-0.msr2.gq1.yahoo.com (66.196.67.111),1,
unknown.yahoo.com (98.136.158.201),1,
173.252.67.105 (173.252.67.105),1,
173.252.67.11 (173.252.67.11),1,
unknown.yahoo.com (66.196.67.127),1,
unknown.yahoo.com (98.136.158.219),1,
lo0.fab7-1-gdc.gq2.yahoo.com (98.136.159.241),1,
173.252.67.111 (173.252.67.111),1,
173.252.67.107 (173.252.67.107),1,
173.252.67.159 (173.252.67.159),1,
173.252.67.63 (173.252.67.63),1,
unknown.yahoo.com (66.196.67.125),1,
173.252.67.163 (173.252.67.163),1,
173.252.67.115 (173.252.67.115),1,
unknown.yahoo.com (98.136.158.173),1,
173.252.67.109 (173.252.67.109),1,
173.252.67.61 (173.252.67.61),1,
