Destination,First 12.X Address,First 12.X Latency,# Hops Up To 12.X,Latencies Up To 12.X, [ DIVIDER ] ,Hop 1 Address,Hop 1 Histogram Occurrences,Hop 1 Latency,Hop 2 Address,Hop 2 Histogram Occurrences,Hop 2 Latency,Hop 3 Address,Hop 3 Histogram Occurrences,Hop 3 Latency,Hop 4 Address,Hop 4 Histogram Occurrences,Hop 4 Latency,Hop 5 Address,Hop 5 Histogram Occurrences,Hop 5 Latency,Hop 6 Address,Hop 6 Histogram Occurrences,Hop 6 Latency,Hop 7 Address,Hop 7 Histogram Occurrences,Hop 7 Latency,Hop 8 Address,Hop 8 Histogram Occurrences,Hop 8 Latency,Hop 9 Address,Hop 9 Histogram Occurrences,Hop 9 Latency,Hop 10 Address,Hop 10 Histogram Occurrences,Hop 10 Latency,Hop 11 Address,Hop 11 Histogram Occurrences,Hop 11 Latency,Hop 12 Address,Hop 12 Histogram Occurrences,Hop 12 Latency,Hop 13 Address,Hop 13 Histogram Occurrences,Hop 13 Latency,Hop 14 Address,Hop 14 Histogram Occurrences,Hop 14 Latency,Hop 15 Address,Hop 15 Histogram Occurrences,Hop 15 Latency,Hop 16 Address,Hop 16 Histogram Occurrences,Hop 16 Latency,Hop 17 Address,Hop 17 Histogram Occurrences,Hop 17 Latency,Hop 18 Address,Hop 18 Histogram Occurrences,Hop 18 Latency,Hop 19 Address,Hop 19 Histogram Occurrences,Hop 19 Latency,Hop 20 Address,Hop 20 Histogram Occurrences,Hop 20 Latency,Hop 21 Address,Hop 21 Histogram Occurrences,Hop 21 Latency,Hop 22 Address,Hop 22 Histogram Occurrences,Hop 22 Latency,Hop 23 Address,Hop 23 Histogram Occurrences,Hop 23 Latency,Hop 24 Address,Hop 24 Histogram Occurrences,Hop 24 Latency,Hop 25 Address,Hop 25 Histogram Occurrences,Hop 25 Latency,Hop 26 Address,Hop 26 Histogram Occurrences,Hop 26 Latency,Hop 27 Address,Hop 27 Histogram Occurrences,Hop 27 Latency,Hop 28 Address,Hop 28 Histogram Occurrences,Hop 28 Latency,Hop 29 Address,Hop 29 Histogram Occurrences,Hop 29 Latency,Hop 30 Address,Hop 30 Histogram Occurrences,Hop 30 Latency,
facebook.com,12.83.179.194 (12.83.179.194),54.216,5,171.255,|,172.20.10.1 (172.20.10.1),1000,4.885666666666666,172.26.96.169 (172.26.96.169),1000,50.687333333333335,172.16.12.164 (172.16.12.164),862,49.753,172.16.12.188 (172.16.12.188),891,65.929,12.83.179.194 (12.83.179.194),999,54.216,,
youtube.com,12.83.179.194 (12.83.179.194),70.80233333333334,4,124.91333333333333,|,172.20.10.1 (172.20.10.1),1000,4.793,172.26.96.169 (172.26.96.169),1000,57.608000000000004,172.16.12.188 (172.16.12.188),891,62.51233333333332,12.83.179.194 (12.83.179.194),999,70.80233333333334,,
google.com,12.83.179.194 (12.83.179.194),94.26933333333334,5,161.08816666666667,|,172.20.10.1 (172.20.10.1),1000,8.994666666666667,172.26.96.169 (172.26.96.169),1000,55.038000000000004,172.16.12.164 (172.16.12.164),862,45.807500000000005,172.16.12.188 (172.16.12.188),891,51.248,12.83.179.194 (12.83.179.194),999,94.26933333333334,,
twitter.com,12.83.179.194 (12.83.179.194),84.25433333333335,4,109.006,|,172.20.10.1 (172.20.10.1),1000,5.980666666666667,172.26.96.169 (172.26.96.169),1000,51.59100000000001,172.16.12.188 (172.16.12.188),891,51.434333333333335,12.83.179.194 (12.83.179.194),999,84.25433333333335,,
wordpress.com,12.83.179.194 (12.83.179.194),96.13733333333333,5,162.93900000000002,|,172.20.10.1 (172.20.10.1),1000,9.488,172.26.96.169 (172.26.96.169),1000,51.172,172.16.12.188 (172.16.12.188),891,52.139,172.16.12.164 (172.16.12.164),862,50.14,12.83.179.194 (12.83.179.194),999,96.13733333333333,,
gmail.com,12.83.179.194 (12.83.179.194),72.15866666666666,5,156.71566666666666,|,172.20.10.1 (172.20.10.1),1000,6.7876666666666665,172.26.96.169 (172.26.96.169),1000,52.61600000000001,172.16.12.164 (172.16.12.164),862,49.219,172.16.12.188 (172.16.12.188),891,48.093,12.83.179.194 (12.83.179.194),999,72.15866666666666,,
tripadvisor.com,12.83.179.194 (12.83.179.194),69.14266666666667,5,175.937,|,172.20.10.1 (172.20.10.1),1000,6.737333333333333,172.26.96.169 (172.26.96.169),1000,51.27866666666667,172.16.12.164 (172.16.12.164),862,52.142,172.16.12.188 (172.16.12.188),891,65.779,12.83.179.194 (12.83.179.194),999,69.14266666666667,,
yahoo.com,12.83.179.194 (12.83.179.194),57.18266666666667,4,114.78766666666667,|,172.20.10.1 (172.20.10.1),1000,4.2843333333333335,172.26.96.169 (172.26.96.169),1000,50.20466666666667,172.16.12.164 (172.16.12.164),862,60.29866666666666,12.83.179.194 (12.83.179.194),999,57.18266666666667,,
apple.com,12.83.179.194 (12.83.179.194),84.51,5,230.51299999999998,|,172.20.10.1 (172.20.10.1),1000,23.372,172.26.96.169 (172.26.96.169),1000,53.602,172.16.12.188 (172.16.12.188),891,74.455,172.16.12.164 (172.16.12.164),862,79.084,12.83.179.194 (12.83.179.194),999,84.51,,
glassdoor.com,12.83.179.194 (12.83.179.194),55.361,4,105.94766666666666,|,172.20.10.1 (172.20.10.1),1000,5.219,172.26.96.169 (172.26.96.169),1000,50.22266666666667,172.16.12.164 (172.16.12.164),862,50.506,12.83.179.194 (12.83.179.194),999,55.361,,
