Destination URL,Sample Time Duration (s),Latency Sum (s),Number of Hops,Address 1,Latency (s),Address 2,Latency (s),Address 3,Latency (s),Address 4,Latency (s),Address 5,Latency (s),Address 6,Latency (s),Address 7,Latency (s),Address 8,Latency (s),Address 9,Latency (s),Address 10,Latency (s),Address 11,Latency (s),Address 12,Latency (s),Address 13,Latency (s),Address 14,Latency (s),Address 15,Latency (s),Address 16,Latency (s),Address 17,Latency (s),Address 18,Latency (s),Address 19,Latency (s),Address 20,Latency (s),Address 21,Latency (s),Address 22,Latency (s),Address 23,Latency (s),Address 24,Latency (s),Address 25,Latency (s),Address 26,Latency (s),Address 27,Latency (s),Address 28,Latency (s),Address 29,Latency (s),Address 30,Latency (s)
facebook.com,34.97867727,80,8,192.168.165.35 (192.168.165.35),2.666666667,128.198.192.3 (128.198.192.3),10,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),7.666666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),10.66666667,206.53.175.50 (206.53.175.50),16.33333333,po102.psw01.den4.tfbnw.net (157.240.46.155),10,173.252.67.3 (173.252.67.3),12.33333333,edge-star-mini-shv-01-den4.facebook.com (157.240.28.35),10.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube.com,40.64908934,101,9,192.168.165.35 (192.168.165.35),3,128.198.192.2 (128.198.192.2),9,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),10.33333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),10.33333333,core-910-ptr.frgp.net (192.43.217.170),26.33333333,72.14.194.239 (72.14.194.239),11.66666667,108.170.254.65 (108.170.254.65),10.33333333,172.253.75.177 (172.253.75.177),9,den16s08-in-f14.1e100.net (142.250.72.46),11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google.com,40.69687891,94,9,192.168.165.35 (192.168.165.35),2.333333333,128.198.192.2 (128.198.192.2),16.33333333,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),7.666666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),10.66666667,core-910-ptr.frgp.net (192.43.217.170),12.66666667,72.14.194.239 (72.14.194.239),11.33333333,108.170.254.81 (108.170.254.81),12,142.251.51.155 (142.251.51.155),9.666666667,den16s09-in-f14.1e100.net (142.250.72.78),11.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter.com,33.93050003,210.3333333,10,192.168.165.35 (192.168.165.35),2,128.198.192.3 (128.198.192.3),15.66666667,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),8.333333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),17.66666667,core-910-ptr.frgp.net (192.43.217.170),20,den-b1-link.ip.twelve99.net (62.115.63.78),11.33333333,sjo-b23-link.ip.twelve99.net (213.155.133.171),49.33333333,twitter-ic322868-sjo-b21.ip.twelve99-cust.net (62.115.49.193),43,104.244.42.129 (104.244.42.129),43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordpress.com,19.97932744,95.33333333,7,192.168.165.35 (192.168.165.35),2.666666667,128.198.192.3 (128.198.192.3),8.333333333,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),12.66666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),35.33333333,core-910-ptr.frgp.net (192.43.217.170),11,206.51.46.81.any2ix.coresite.com (206.51.46.81),10.33333333,192.0.78.17 (192.0.78.17),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmail.com,40.51343536,95.33333333,9,192.168.165.35 (192.168.165.35),2.666666667,128.198.192.3 (128.198.192.3),6.666666667,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),9,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),10,core-910-ptr.frgp.net (192.43.217.170),9.666666667,72.14.194.239 (72.14.194.239),11.33333333,108.170.252.209 (108.170.252.209),12.66666667,142.251.61.183 (142.251.61.183),15,den08s05-in-f5.1e100.net (142.250.69.229),18.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripadvisor.com,73.20180273,968.3333333,15,192.168.165.35 (192.168.165.35),3,128.198.192.3 (128.198.192.3),8.666666667,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),10.33333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),10,core-1850-ptr.frgp.net (192.43.217.194),11.33333333,et-5-1-0.3469.rtsw.denv.net.internet2.edu (198.71.47.18),8.666666667,ae-3.4079.rtsw.salt.net.internet2.edu (162.252.70.9),24,ae-1.4079.rtsw.losa.net.internet2.edu (162.252.70.114),38,universitycorpforadvancedinternet.as11164.any2ix.coresite.com (206.72.210.14),38.33333333,pccw-global.as3491.any2ix.coresite.com (206.72.210.49),46.33333333,HundredGE0-0-0-1.clbr02.hkg04.pccwbtn.net (63.223.17.242),207,63-218-115-82.static.pccwglobal.net (63.218.115.82),201.6666667,ae-96.core1.hhp.edgecastcdn.net (152.195.187.133),180.6666667,192.229.189.15 (192.229.189.15),180.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yahoo.com,61.1819396,171.3333333,11,192.168.165.35 (192.168.165.35),3.666666667,128.198.192.3 (128.198.192.3),8,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),9.666666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),11,206.53.175.18 (206.53.175.18),13,ae-0.pat1.nez.yahoo.com (209.191.64.220),20,et-0-0-0.msr2.ne1.yahoo.com (216.115.105.179),19.66666667,et-19-1-0.clr2-a-gdc.ne1.yahoo.com (98.138.97.75),22.33333333,lo0.fab2-2-gdc.ne1.yahoo.com (98.138.51.1),21,usw1-1-lbd.ne1.yahoo.com (98.138.97.156),21.66666667,media-router-fp74.prod.media.vip.ne1.yahoo.com (74.6.231.21),21.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple.com,15.49911237,76.66666667,7,192.168.165.35 (192.168.165.35),7,128.198.192.2 (128.198.192.2),10,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),10.66666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),11.66666667,core-910-ptr.frgp.net (192.43.217.170),11,206.51.46.20.any2ix.coresite.com (206.51.46.20),12,apple.com.uy (17.253.144.10),14.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glassdoor.com,32.7902236,65,6,192.168.165.35 (192.168.165.35),3.666666667,128.198.192.3 (128.198.192.3),12.33333333,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),8.666666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),11,206.53.175.20 (206.53.175.20),12.66666667,104.17.91.51 (104.17.91.51),16.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
